Date,Team,Notes,Year injured,Injured,Player
10/3/2010,Bulls,fractured bone in right pinky finger (out indefinitely),2010,1,Carlos Boozer
10/6/2010,Pistons,torn right Achilles tendon (out indefinitely),2010,1,Jonas Jerebko
10/6/2010,Pistons,broken fifth metatarsal in right foot (out indefinitely),2010,1,Terrico White
10/8/2010,Blazers,torn ACL in right knee (out indefinitely),2010,1,Jeff Ayres
10/8/2010,Nets,strained lower back (out indefinitely),2010,1,Troy Murphy
10/8/2010,Pistons,surgery to repair torn right Achilles tendon,2010,1,Jonas Jerebko
10/8/2010,Pistons,surgery on right foot to repair broken fifth metatarsal,2010,1,Terrico White
10/9/2010,Nuggets,partially torn plantar fascia in left foot (out indefinitely),2010,1,Al Harrington
10/12/2010,Bucks,surgery on left hip (out for season),2010,1,Darington Hobson
10/12/2010,Kings,strained left groin (out indefinitely),2010,1,Samuel Dalembert
10/17/2010,Bobcats,stress fracture in left shin (out indefinitely),2010,1,Dominic McGuire
10/18/2010,Warriors,surgery to repair fractured right index finger (out indefinitely),2010,1,Lou Amundson
10/19/2010,Suns,fractured right index finger (out indefinitely),2010,1,Josh Childress
10/22/2010,Heat,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely),2010,1,Mike Miller
10/25/2010,Thunder,left knee injury (out indefinitely),2010,1,Nick Collison
10/25/2010,Timberwolves,surgery on back (out indefinitely),2010,1,Martell Webster
10/26/2010,Heat,sprained ankle (out indefinitely),2010,1,Mario Chalmers
10/27/2010,Bucks,sprained left ankle (DNP),2010,1,Jon Brockman
10/27/2010,Bucks,sprained right ankle (DNP),2010,1,Luc Mbah a Moute
10/28/2010,Grizzlies,back injury (DTD),2010,1,Zach Randolph
10/28/2010,Hawks,right knee inflammation (DTD),2010,1,Maurice Evans
10/28/2010,Spurs,sprained right ankle (DTD),2010,1,Matt Bonner
10/29/2010,Heat,returned to lineup,2010,1,Mario Chalmers
10/29/2010,Pistons,sore right hamstring (DNP),2010,1,Will Bynum
11/2/2010,Pistons,sore right foot (DNP),2010,1,Richard Hamilton
11/3/2010,Hawks,turf toe (DNP),2010,1,Jamal Crawford
11/3/2010,Jazz,sprained right wrist (DNP),2010,1,Jeremy Evans
11/3/2010,Jazz,stomach illness (DNP),2010,1,Kyrylo Fesenko
11/3/2010,Nuggets,strained left groin (DNP),2010,1,Nene Hilario 
11/3/2010,Warriors,stomach virus (DTD),2010,1,Brandan Wright
11/4/2010,Blazers,"dislocated patella in right knee (surgery, out for season)",2010,1,Elliot Williams
11/5/2010,Bucks,migraine headache (DNP),2010,1,Andrew Bogut
11/5/2010,Hawks,bone bruise in right knee (DNP),2010,1,Marvin Williams
11/5/2010,Jazz,sprained right ankle (DNP),2010,1,Jeremy Evans
11/6/2010,Blazers,back injury (DNP),2010,1,Rudy Fernandez
11/6/2010,Raptors,ankle injury (DTD),2010,1,Sonny Weems
11/8/2010,Magic,DNP,2010,1,Mickael Pietrus
11/9/2010,Bucks,strained neck (DNP),2010,1,Carlos Delfino
11/10/2010,Clippers,sprained left ankle (DNP),2010,1,Chris Kaman
11/10/2010,Raptors,flu (DTD),2010,1,David Andersen
11/10/2010,Timberwolves,thigh injury (DTD),2010,1,Wayne Ellington
11/10/2010,Clippers,sore left shoulder (DNP),2010,1,Eric Gordon
11/11/2010,Celtics,sore left knee (DNP),2010,1,Jermaine O'Neal
11/11/2010,Rockets,sprained left ankle (DTD),2010,1,Yao Ming
11/11/2010,Spurs,stress fracture in right foot (out indefinitely),2010,1,James Anderson
11/11/2010,Warriors,placed on IL with infection in left elbow,2010,1,David Lee
11/12/2010,Warriors,surgery on left elbow to repair infection,2010,1,David Lee
11/12/2010,Clippers,strained left hamstring (DNP),2010,1,Randy Foye
11/13/2010,Raptors,flu-like symptoms (DNP),2010,1,Reggie Evans
11/14/2010,Rockets,sprained left ankle (DNP),2010,1,Chase Budinger
11/14/2010,Timberwolves,sprained left ankle (DNP),2010,1,Nikola Pekovic
11/14/2010,Timberwolves,bruised left thigh (DNP),2010,1,Wayne Ellington
11/15/2010,Jazz,strained left abductor (DNP),2010,1,Raja Bell
11/15/2010,Timberwolves,left foot injury (DNP),2010,1,Nikola Pekovic
11/16/2010,Blazers,sore left knee (DNP),2010,1,Brandon Roy
11/17/2010,Jazz,dizziness (DNP),2010,1,Kyrylo Fesenko
11/18/2010,Magic,foot injury (DTD),2010,1,Jason Williams
11/19/2010,Blazers,mircofracture surgery on left knee (out for season),2010,1,Greg Oden
11/19/2010,Heat,broken nose (DNP),2010,1,Juwan Howard
11/19/2010,Knicks,left calf injury (DNP),2010,1,Timofey Mozgov
11/19/2010,Warriors,strained lower back (DNP),2010,1,Brandan Wright
11/20/2010,Suns,strained groin (DNP),2010,1,Steve Nash
11/21/2010,Wizards,sprained left foot (DNP),2010,1,John Wall 
11/22/2010,Hornets,DNP,2010,1,Marcus Thornton 
11/23/2010,Heat,surgery on left foot to repair torn ligament (out for season),2010,1,Udonis Haslem
11/24/2010,Bucks,sore back (DNP),2010,1,Andrew Bogut
11/24/2010,Bulls,right ankle/foot injury (DNP),2010,1,Taj Gibson
11/24/2010,Celtics,broken right wrist (out indefinitely),2010,1,Delonte West
11/24/2010,Magic,returned to lineup,2010,1,Jason Williams
11/26/2010,Raptors,broken right foot (out indefinitely),2010,1,Reggie Evans
11/27/2010,Bucks,sore left ankle (DNP),2010,1,Corey Maggette
11/27/2010,Bucks,plantar fasciitis in left foot (DNP),2010,1,Drew Gooden
11/27/2010,Wizards,bruised right knee (P) / sore left knee (CBC) (DNP),2010,1,John Wall 
11/28/2010,Blazers,sprained right ankle (DNP),2010,1,Sean Marks
11/28/2010,Knicks,bruised right quadriceps (DNP),2010,1,Toney Douglas
11/28/2010,Lakers,gastroenteritis (DNP),2010,1,Devin Ebanks
11/28/2010,Raptors,swollen left knee (DNP),2010,1,Peja Stojakovic
11/28/2010,Raptors,broken right foot (DNP),2010,1,Reggie Evans
11/29/2010,Bucks,illness (DNP),2010,1,Corey Maggette
11/29/2010,Bucks,left foot injury (DNP),2010,1,Drew Gooden
11/29/2010,Wizards,bruised right knee (P) (DNP),2010,1,John Wall 
11/30/2010,Celtics,surgery to repair broken right wrist,2010,1,Delonte West
11/30/2010,Knicks,returned to lineup,2010,1,Toney Douglas
12/2/2010,Hawks,arthroscopic surgery on right elbow to remove loose particle (out indefinitely),2010,1,Joe Johnson
12/3/2010,Hornets,stomach virus (DNP),2010,1,David West
12/3/2010,Magic,stomach virus (DNP),2010,1,Dwight Howard
12/3/2010,Magic,stomach virus (DNP),2010,1,Jameer Nelson
12/3/2010,Magic,stomach virus (DNP),2010,1,J.J. Redick
12/4/2010,Magic,sprained right foot (DNP),2010,1,Ryan Anderson
12/4/2010,Timberwolves,sprained right ankle (DNP),2010,1,Michael Beasley
12/5/2010,Celtics,strained hamstring (DNP),2010,1,Rajon Rondo
12/5/2010,Raptors,sore/swollen left knee (DNP),2010,1,Peja Stojakovic
12/5/2010,Thunder,sprained right ankle (DTD),2010,1,D.J. White
12/5/2010,Warriors,sprained left foot (DTD),2010,1,Rodney Carney
12/6/2010,Magic,stomach flu (DNP),2010,1,Jameer Nelson
12/6/2010,Bucks,patella tendinitis in left foot (DNP),2010,1,Drew Gooden
12/8/2010,Celtics,returned to lineup,2010,1,Rajon Rondo
12/8/2010,Jazz,sprained left ankle (DNP),2010,1,Kyrylo Fesenko
12/8/2010,Nuggets,right knee inflammation (DNP),2010,1,Carmelo Anthony
12/8/2010,Timberwolves,bruised right quadriceps (DNP),2010,1,Darko Milicic
12/8/2010,Wizards,sore left foot (DNP),2010,1,John Wall 
12/9/2010,Celtics,sore right calf (P) / sore left knee (CBC) (DNP),2010,1,Shaquille O'Neal
12/10/2010,Bobcats,quadriceps injury (DTD),2010,1,Tyrus Thomas
12/10/2010,Hawks,illness (DTD),2010,1,Zaza Pachulia
12/10/2010,Jazz,groin injury (DTD),2010,1,Raja Bell
12/10/2010,Raptors,sore left foot (DTD),2010,1,Jose Calderon
12/10/2010,Thunder,back injury (DTD),2010,1,Nenad Krstic
12/10/2010,Thunder,returned to lineup,2010,1,D.J. White
12/10/2010,Timberwolves,returned to lineup,2010,1,Darko Milicic
12/10/2010,Warriors,sprained right ankle (DTD),2010,1,Stephen Curry
12/11/2010,Cavaliers,stomach virus (DTD),2010,1,Ryan Hollins
12/11/2010,Jazz,strained right abductor (DNP),2010,1,Raja Bell
12/11/2010,Nuggets,right knee patella tendinitis (DNP),2010,1,Carmelo Anthony
12/12/2010,Magic,strained lower back (DNP),2010,1,Chris Duhon
12/13/2010,Nets,surgery to insert screw to repair broken right foot (out indefinitely),2010,1,Damion James
12/14/2010,Kings,left foot injury (DTD),2010,1,Tyreke Evans
12/14/2010,Magic,sprained left knee (DNP),2010,1,Mickael Pietrus
12/14/2010,Magic,sore left elbow (DNP),2010,1,Quentin Richardson
12/14/2010,Nuggets,sprained right wrist (DNP),2010,1,Chauncey Billups
12/15/2010,Bucks,back spasms (DNP),2010,1,John Salmons
12/15/2010,Bulls,torn ligament in right thumb (out indefinitely),2010,1,Joakim Noah
12/15/2010,Celtics,sore right calf (DNP),2010,1,Shaquille O'Neal
12/15/2010,Raptors,sore left knee (DNP),2010,1,Andrea Bargnani
12/15/2010,Wizards,sprained right knee (out indefinitely),2010,1,Jianlian Yi
12/16/2010,Bulls,surgery on right thumb to repair torn ligament (out indefinitely),2010,1,Joakim Noah
12/16/2010,Celtics,sprained left ankle (DNP),2010,1,Rajon Rondo
12/16/2010,Nets,strained right hamstring (DNP),2010,1,Anthony Morrow
12/16/2010,Nuggets,torn ligament in right wrist (DNP),2010,1,Chauncey Billups
12/16/2010,Rockets,stress fracture in left ankle (out for season),2010,1,Yao Ming
12/16/2010,Spurs,strained right adductor (DTD),2010,1,Tiago Splitter
12/16/2010,Wizards,right knee tendinitis (DNP),2010,1,John Wallace
12/17/2010,Raptors,sore lower back (DNP),2010,1,Sonny Weems
12/18/2010,Blazers,sore right shoulder (DNP),2010,1,Marcus Camby
12/18/2010,Blazers,sore right shoulder (DNP),2010,1,Nicolas Batum
12/18/2010,Spurs,sprained right big toe (DNP),2010,1,George Hill
12/19/2010,Nets,bruised lower back (DNP),2010,1,Quinton Ross
12/19/2010,Pistons,upset stomach (DNP),2010,1,Richard Hamilton
12/19/2010,Pistons,sore left big toe (DNP),2010,1,Rodney Stuckey
12/19/2010,Raptors,sore right ankle (DNP),2010,1,Andrea Bargnani
12/19/2010,Raptors,back spasms (DNP),2010,1,Sonny Weems
12/20/2010,Blazers,strained right shoulder (DNP),2010,1,Marcus Camby
12/20/2010,Clippers,back injury (out indefinitely),2010,1,Craig Smith
12/20/2010,Warriors,strained left groin (DNP),2010,1,Dan Gadzuric
12/20/2010,Bucks,concussion (DNP),2010,1,Carlos Delfino
12/21/2010,Bucks,sore left foot (DNP),2010,1,Drew Gooden
12/21/2010,Magic,sprained left ankle (DNP),2010,1,Malik Allen
12/22/2010,Raptors,food poisoning (DNP),2010,1,Jerryd Bayless
12/23/2010,Magic,arthroscopic surgery on left knee (out for season),2010,1,Daniel Orton
12/25/2010,Celtics,stomach virus (DTD),2010,1,Semih Erden
12/25/2010,Magic,sore left foot (DNP),2010,1,Jason Williams
12/27/2010,76ers,right Achilles tendinitis (DNP),2010,1,Andre Iguodala
12/28/2010,Blazers,sprained right ankle (P) / left ankle (CBC) (DNP),2010,1,Marcus Camby
12/28/2010,Magic,flu-like symptoms (DNP),2010,1,Quentin Richardson
12/28/2010,Raptors,sore ankle (DNP),2010,1,Jose Calderon
12/29/2010,Cavaliers,strained left hip flexor (DNP),2010,1,Mo Williams
12/29/2010,Celtics,upper respiratory infection (DNP),2010,1,Semih Erden
12/29/2010,Jazz,flu-like symptoms (DNP),2010,1,C.J. Miles
12/29/2010,Nuggets,sore left knee (DNP),2010,1,Kenyon Martin
12/29/2010,Nuggets,sore hamstring (DNP),2010,1,Nene Hilario 
12/30/2010,Jazz,flu (DNP),2010,1,C.J. Miles
12/30/2010,Jazz,strained lower back (DNP),2010,1,Mehmet Okur
12/30/2010,Rockets,sprained right ankle (out indefinitely),2010,1,Chuck Hayes
12/31/2010,Cavaliers,fractured cheekbone (out indefinitely),2010,1,Anderson Varejao
12/31/2010,Hawks,bruised back (DTD),2010,1,Marvin Williams
12/31/2010,Nets,bone bruise in right knee (DNP),2010,1,Jordan Farmar
12/31/2010,Warriors,strained lower back (out indefinitely),2010,1,Brandan Wright
1/1/2011,Bucks,plantar fasciitis in left foot (DNP),2011,1,Drew Gooden
1/1/2011,Cavaliers,bruised left thigh (DNP),2011,1,Daniel Gibson
1/1/2011,Cavaliers,strained left hip flexor (DNP),2011,1,Mo Williams
1/1/2011,Grizzlies,stomach virus (DNP),2011,1,Rudy Gay
1/1/2011,Grizzlies,sore right knee (DNP),2011,1,Xavier Henry
1/1/2011,Jazz,flu-like symptoms (DNP),2011,1,C.J. Miles
1/1/2011,Mavericks,bruised thigh (DNP),2011,1,Shawn Marion
1/1/2011,Nets,bone bruise in right knee (DNP),2011,1,Jordan Farmar
1/2/2011,Blazers,sore left knee (DNP),2011,1,Brandon Roy
1/2/2011,Knicks,shin injury (DTD),2011,1,Timofey Mozgov
1/2/2011,Raptors,sprained left ankle (DNP),2011,1,Jerryd Bayless
1/2/2011,Raptors,back spasms (DNP),2011,1,Sonny Weems
1/3/2011,76ers,strained back (DNP),2011,1,Spencer Hawes
1/3/2011,Knicks,sprained left knee (out indefinitely),2011,1,Danilo Gallinari
1/3/2011,Pistons,groin injury (DTD),2011,1,Chris Wilcox
1/3/2011,Warriors,returned to lineup,2011,1,Brandan Wright
1/4/2011,Grizzlies,bronchitis (DNP),2011,1,O.J. Mayo
1/4/2011,Mavericks,surgery on right knee to repair torn patella tendon (out for season),2011,1,Caron Butler
1/5/2011,76ers,rotator cuff injury (DTD),2011,1,Tony Battie
1/5/2011,Bobcats,surgery to repair ruptured right Achilles tendon (out for season),2011,1,DeSagana Diop
1/5/2011,Bobcats,hyperextended left knee (DNP),2011,1,Stephen Jackson
1/5/2011,Bucks,surgery on left foot (out indefinitely),2011,1,Brandon Jennings
1/5/2011,Jazz,bruised right hip (DNP),2011,1,Paul Millsap
1/6/2011,Cavaliers,sprained left ankle (DTD),2011,1,Daniel Gibson
1/6/2011,Suns,torn ACL and partially torn MCL in right knee (out for season),2011,1,Gani Lawal
1/7/2011,Bucks,recovering from surgery on left foot (DNP),2011,1,Brandon Jennings
1/7/2011,Cavaliers,torn tendon in right ankle (out for season),2011,1,Anderson Varejao
1/7/2011,Cavaliers,strained lower back (DNP),2011,1,Anthony Parker
1/7/2011,Rockets,surgery on left ankle to repair stress fracture (out for season),2011,1,Yao Ming
1/8/2011,Bucks,virus (DNP),2011,1,Andrew Bogut
1/8/2011,Lakers,torn cartilage in right knee (out indefinitely),2011,1,Matt Barnes
1/8/2011,Nets,bruised right quadriceps (DNP),2011,1,Devin Harris
1/9/2011,Nuggets,strained left knee (DNP),2011,1,Ty Lawson
1/10/2011,Rockets,sore right knee (DNP),2011,1,Brad Miller
1/11/2011,Cavaliers,torn tendon in right ankle (DNP),2011,1,Anderson Varejao
1/11/2011,Knicks,flu-like symptoms (DNP),2011,1,Anthony Randolph
1/11/2011,Lakers,surgery on right knee to repair torn lateral meniscus (out indefinitely),2011,1,Matt Barnes
1/12/2011,Celtics,sore left knee (DNP),2011,1,Jermaine O'Neal
1/12/2011,Grizzlies,sore left knee (DNP),2011,1,Tony Allen
1/12/2011,Nets,strained right hamstring (DNP),2011,1,Anthony Morrow
1/12/2011,Warriors,Achilles tendon injury (DTD),2011,1,Reggie Williams
1/13/2011,Heat,sprained left ankle (DNP),2011,1,LeBron James
1/13/2011,Wizards,sprained right shoulder (DNP),2011,1,Andray Blatche
1/14/2011,Cavaliers,sprained right ankle (DNP),2011,1,Christian Eyenga
1/14/2011,Cavaliers,sprained left ankle (DNP),2011,1,Daniel Gibson
1/14/2011,Celtics,strained right leg (DNP),2011,1,Kevin Garnett
1/14/2011,Knicks,right hip pointer (DTD),2011,1,Ronny Turiaf
1/14/2011,Raptors,strained right hamstring (DTD),2011,1,Leandro Barbosa
1/14/2011,Spurs,sore right knee (DTD),2011,1,Matt Bonner
1/14/2011,Warriors,strained lower back (DTD),2011,1,Brandan Wright
1/14/2011,Cavaliers,strained right quadriceps (DNP),2011,1,Joey Graham
1/15/2011,Cavaliers,sprained left ankle (DNP),2011,1,Christian Eyenga
1/15/2011,Cavaliers,sprained right ankle (DNP),2011,1,Daniel Gibson
1/15/2011,Raptors,sore/sprained left ankle (DNP),2011,1,Jerryd Bayless
1/15/2011,Raptors,strained right hamstring (DNP),2011,1,Leandro Barbosa
1/16/2011,Spurs,sore right knee (DNP),2011,1,Matt Bonner
1/17/2011,Blazers,arthroscopic surgery on both knees (out indefinitely),2011,1,Brandon Roy
1/17/2011,Bulls,sprained left ankle (DNP),2011,1,Carlos Boozer
1/17/2011,Raptors,sore left ankle (DNP),2011,1,Jerryd Bayless
1/17/2011,Raptors,sore right knee (DNP),2011,1,Linas Kleiza
1/17/2011,Rockets,upper respiratory distress / flu (DNP),2011,1,Patrick Patterson
1/19/2011,Bucks,sore right hip (DNP),2011,1,John Salmons
1/20/2011,Blazers,arthroscopic surgery on left knee to repair torn meniscus,2011,1,Marcus Camby
1/20/2011,Blazers,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP),2011,1,Marcus Camby
1/21/2011,Celtics,hip injury (DTD),2011,1,Shaquille O'Neal
1/21/2011,Hornets,right ankle tendinitis / knee tendinitis (CBC) (DNP),2011,1,Trevor Ariza
1/21/2011,Pistons,sprained left ankle (DTD),2011,1,Charlie Villanueva
1/21/2011,Raptors,sore right knee (DTD),2011,1,Joey Dorsey
1/21/2011,Spurs,sprained right thumb (DNP),2011,1,George Hill
1/21/2011,Wizards,sprained elbow (DTD),2011,1,Kirk Hinrich
1/22/2011,Bucks,strained right hip (DNP),2011,1,John Salmons
1/22/2011,Celtics,sore right knee (DNP),2011,1,Shaquille O'Neal
1/22/2011,Heat,migraine headache (DNP),2011,1,Dwyane Wade
1/22/2011,Hornets,right knee tendinitis (DNP),2011,1,Trevor Ariza
1/22/2011,Magic,foot injury (out indefinitely),2011,1,Jason Williams
1/22/2011,Raptors,strained right patella tendon (DNP),2011,1,Joey Dorsey
1/24/2011,Raptors,flu-like symptoms / ankle injury (CBC) (DNP),2011,1,Jose Calderon
1/25/2011,Celtics,sore right leg (DNP),2011,1,Shaquille O'Neal
1/25/2011,Clippers,sprained right wrist (DNP),2011,1,Eric Gordon
1/26/2011,Nuggets,left knee injury (DNP),2011,1,Kenyon Martin
1/27/2011,Celtics,sore right hip (DNP),2011,1,Shaquille O'Neal
1/28/2011,Heat,sprained right wrist (DNP),2011,1,Dwyane Wade
1/28/2011,Jazz,strained tendon in right wrist (DNP),2011,1,Deron Williams
1/28/2011,Jazz,strained lower back (DTD),2011,1,Mehmet Okur
1/28/2011,Nets,strained lower back (DNP),2011,1,Jordan Farmar
1/28/2011,Pistons,bruised right shoulder (DNP),2011,1,Rodney Stuckey
1/28/2011,Wizards,sprained right ankle (DNP),2011,1,Kirk Hinrich
1/29/2011,Wizards,right leg injury (DTD),2011,1,Mustafa Shakur
1/30/2011,Knicks,sore left calf (DNP),2011,1,Wilson Chandler
1/30/2011,Magic,bruised left knee (P) / sore right knee (CBC) (DNP),2011,1,Gilbert Arenas
1/30/2011,Suns,surgery on right knee to repair torn ACL and partially torn MCL (out for season),2011,1,Gani Lawal
1/31/2011,Cavaliers,bruised left quadriceps (DNP),2011,1,Daniel Gibson
1/31/2011,Magic,sore left shoulder (DTD),2011,1,J.J. Redick
2/1/2011,Kings,sprained right ankle (DNP),2011,1,Jason Thompson
2/1/2011,Lakers,bone bruised in left knee (DNP),2011,1,Andrew Bynum
2/2/2011,Bucks,flu (DNP),2011,1,Keyon Dooling
2/2/2011,Bucks,illness (DNP),2011,1,Larry Sanders 
2/2/2011,Jazz,sprained left ankle (DNP),2011,1,Andrei Kirilenko
2/2/2011,Pistons,sore back (DNP),2011,1,Jason Maxiell
2/2/2011,Rockets,sprained ankle (DNP),2011,1,Jordan Hill
2/3/2011,Bucks,DNP,2011,1,Chris Douglas-Roberts
2/3/2011,Magic,sprained left ankle (DNP),2011,1,Brandon Bass
2/3/2011,Raptors,microfracture surgery on right knee to repair cartilage damage (out for season),2011,1,Linas Kleiza
2/4/2011,Celtics,sore right leg / Achilles tendon (CBC) (DNP),2011,1,Shaquille O'Neal
2/4/2011,Kings,torn patella tendon in left knee (out for season),2011,1,Hassan Whiteside
2/4/2011,Raptors,sprained right knee (DTD),2011,1,Jerryd Bayless
2/4/2011,Timberwolves,left ankle injury (DTD),2011,1,Michael Beasley
2/5/2011,Blazers,facial injury (DNP),2011,1,Dante Cunningham
2/5/2011,Hornets,sprained right ankle (DNP),2011,1,Trevor Ariza
2/5/2011,Timberwolves,returned to lineup,2011,1,Michael Beasley
2/6/2011,Celtics,bruised spinal cord (out indefinitely),2011,1,Marquis Daniels
2/7/2011,Celtics,strained right adductor (DNP),2011,1,Semih Erden
2/7/2011,Jazz,left knee injury (DTD),2011,1,Francisco Elson
2/8/2011,Mavericks,stress fracture in fifth metatarsal in right foot (out indefinitely),2011,1,Dominique Jones
2/8/2011,Pistons,sore groin (DNP),2011,1,Chris Wilcox
2/8/2011,Pistons,sore groin (DNP),2011,1,Richard Hamilton
2/8/2011,Raptors,sore left foot (DNP),2011,1,Alex Ajinca
2/8/2011,Timberwolves,strained left hip flexor (DNP),2011,1,Darko Milicic
2/8/2011,Timberwolves,sprained left ankle (DNP),2011,1,Michael Beasley
2/9/2011,Jazz,left knee inflammation (DNP),2011,1,Francisco Elson
2/9/2011,Wizards,dislocated right middle finger (DNP),2011,1,Al Thornton
2/9/2011,Wizards,sprained left ankle (DNP),2011,1,Jianlian Yi
2/11/2011,Jazz,strained left calf (DNP),2011,1,Raja Bell
2/11/2011,Jazz,sprained right big toe (DNP),2011,1,Ronnie Price
2/11/2011,Mavericks,surgery on right foot to repair stress fracture in fifth metatarsal (out indefinitely),2011,1,Dominique Jones
2/11/2011,Spurs,strained left hamstring (DNP),2011,1,Tiago Splitter
2/11/2011,Bucks,back spasms (DNP),2011,1,Larry Sanders 
2/12/2011,Cavaliers,surgery on right ankle to repair torn tendon (date approximate),2011,1,Anderson Varejao
2/13/2011,Kings,sore right knee (DTD),2011,1,Luther Head
2/13/2011,Warriors,back spasms (DTD),2011,1,Dan Gadzuric
2/14/2011,Clippers,fractured right wrist (DNP),2011,1,Eric Gordon
2/15/2011,Bobcats,groin injury (DNP),2011,1,Eduardo Najera
2/15/2011,Heat,surgery on right knee to repair cartilage (out indefinitely),2011,1,Dexter Pittman
2/15/2011,Jazz,sprained right ankle (DNP),2011,1,Andrei Kirilenko
2/15/2011,Kings,plantar fasciitis in right foot (DNP),2011,1,Tyreke Evans
2/16/2011,Bucks,right eye contusion (DNP),2011,1,Ersan Ilyasova
2/16/2011,Bucks,sore left knee (DNP),2011,1,Keyon Dooling
2/16/2011,Grizzlies,partially dislocated left shoulder (out indefinitely),2011,1,Rudy Gay
2/17/2011,Mavericks,illness (DTD),2011,1,Jose Barea 
2/21/2011,Kings,left calf injury (DNP),2011,1,Francisco Garcia
2/22/2011,Bobcats,returned to lineup,2011,1,Eduardo Najera
2/22/2011,Bucks,returned to lineup,2011,1,Ersan Ilyasova
2/22/2011,Celtics,returned to lineup,2011,1,Semih Erden
2/23/2011,Blazers,left hand injury (DTD),2011,1,Sean Marks
2/23/2011,Kings,plantar fasciitis in left foot (DNP) (P),2011,1,Tyreke Evans
2/23/2011,Suns,illness (DTD),2011,1,Zabian Dowdell
2/25/2011,Blazers,DNP,2011,1,Gerald Wallace
2/25/2011,Bobcats,DNP,2011,1,D.J. White
2/25/2011,Nuggets,sprained ankle (DTD),2011,1,Melvin Ely
2/25/2011,Spurs,concussion symptoms (DNP),2011,1,Gary Neal
2/25/2011,Suns,returned to lineup,2011,1,Zabian Dowdell
2/25/2011,Timberwolves,sore back (DNP),2011,1,Martell Webster
2/25/2011,Bobcats,ruptured right Achilles tendon (DNP),2011,1,DeSagana Diop
2/25/2011,Bobcats,torn meniscus in right knee (DNP),2011,1,Tyrus Thomas
2/25/2011,Kings,strained left calf (DNP),2011,1,Francisco Garcia
2/26/2011,Bucks,concussion (DNP),2011,1,Ersan Ilyasova
2/26/2011,Nets,strained lower back (DNP),2011,1,Quinton Ross
2/26/2011,Pistons,back injury / illness (P) (DNP),2011,1,Tayshaun Prince
2/26/2011,Pistons,headache (DNP),2011,1,Tracy McGrady
2/27/2011,Cavaliers,broken left little finger (out indefinitely),2011,1,Antawn Jamison
2/27/2011,Raptors,flu (DNP),2011,1,Andrea Bargnani
2/28/2011,Cavaliers,surgery to repair broken left little finger (out indefinitely),2011,1,Antawn Jamison
2/28/2011,Celtics,sprained right ankle (DNP),2011,1,Delonte West
2/28/2011,Hawks,sore right calf (DNP),2011,1,Kirk Hinrich
2/28/2011,Spurs,strained left calf muscle (out indefinitely),2011,1,Tony Parker
3/1/2011,Blazers,illness / flu (DNP),2011,1,Rudy Fernandez
3/1/2011,Bucks,strained left rib muscle (DNP),2011,1,Andrew Bogut
3/1/2011,Bucks,flu (DNP),2011,1,Luc Mbah a Moute
3/1/2011,Magic,sore left knee (DNP),2011,1,Gilbert Arenas
3/1/2011,Pistons,sore SI joint (DNP),2011,1,Tayshaun Prince
3/2/2011,Cavaliers,quadriceps injury (DTD),2011,1,Daniel Gibson
3/2/2011,Cavaliers,groin injury (DTD),2011,1,Semih Erden
3/2/2011,Hawks,sprained MCL in right knee (DTD),2011,1,Josh Smith
3/3/2011,Celtics,patellar tendinitis in left knee (out indefinitely),2011,1,Glen Davis
3/3/2011,Jazz,cold (DNP),2011,1,Derrick Favors
3/3/2011,Thunder,arthroscopic surgery on right knee (out indefinitely),2011,1,Nate Robinson
3/4/2011,Bucks,stomach virus (DNP),2011,1,Luc Mbah a Moute
3/4/2011,Cavaliers,strained right adductor muscle (DNP),2011,1,Semih Erden
3/4/2011,Celtics,patellar tendinitis in left knee (DNP),2011,1,Glen Davis
3/4/2011,Hornets,strained abductor muscle (DNP),2011,1,Trevor Ariza
3/4/2011,Timberwolves,illness (DTD),2011,1,Sebastian Telfair
3/4/2011,Timberwolves,gastroenteritis / food poisoning (DNP),2011,1,Wes Johnson
3/5/2011,Bobcats,strained left hamstring (DNP),2011,1,Stephen Jackson
3/5/2011,Kings,surgery on left knee to repair torn patella tendon (out for season),2011,1,Hassan Whiteside
3/5/2011,Kings,sore back (DNP),2011,1,Omri Casspi
3/5/2011,Timberwolves,flu (DNP),2011,1,Wes Johnson
3/6/2011,Celtics,strained patellar tendon in left knee (DNP),2011,1,Glen Davis
3/6/2011,Celtics,sprained right calf (DNP),2011,1,Von Wafer
3/6/2011,Hornets,strained groin (DNP),2011,1,Trevor Ariza
3/6/2011,Wizards,right knee tendinitis (DNP),2011,1,Rashard Lewis
3/7/2011,Hornets,concussion (DNP),2011,1,Chris Paul
3/7/2011,Jazz,sprained left ankle (DNP),2011,1,Francisco Elson
3/7/2011,Jazz,back spasms (DNP),2011,1,Kyrylo Fesenko
3/7/2011,Magic,flu (DNP),2011,1,Chris Duhon
3/7/2011,Suns,dislocated right shoulder (out indefinitely),2011,1,Channing Frye
3/8/2011,Cavaliers,right hip pointer (DNP),2011,1,Luke Harangody
3/8/2011,Wizards,patella tendinitis in right knee (DNP),2011,1,Cartier Martin
3/9/2011,Bobcats,sore right knee (DNP),2011,1,Joel Przybilla
3/9/2011,Bobcats,sprained left ankle (DNP),2011,1,Matt Carroll
3/9/2011,Celtics,strained right calf (DNP),2011,1,Von Wafer
